"input" "filtered" "denoisedF" "denoisedR" "merged" "nonchim"
"Mouse_11a" 102186 15761 15672 15714 15572 13478
"Mouse_11b" 161215 21864 21759 21797 21597 18416
"Mouse_13a" 108124 16800 16717 16753 16610 14723
"Mouse_14a" 119065 18421 18350 18338 18222 15287
"Mouse_16a" 128178 18804 18720 18749 18629 15974
"Mouse_16b" 119515 18543 18392 18431 18258 16515
"Mouse_17a" 120169 18511 18405 18444 18287 15482
"Mouse_18b" 125008 19430 19340 19347 19178 16482
"Mouse_19b" 122880 18886 18773 18832 18659 15885
"Mouse_1a" 139259 15358 15292 15308 15195 13008
"Mouse_2a" 114063 18391 18312 18344 18247 15861
"Mouse_2b" 105180 17219 17161 17171 17079 14741
"Mouse_3a" 129399 18648 18563 18597 18438 15947
"Mouse_3b" 115788 17611 17562 17570 17430 15084
"Mouse_4a" 107784 15122 15064 15080 14928 12698
"Mouse_5b" 125019 19697 19595 19640 19477 16890
"Mouse_6b" 110306 17410 17344 17354 17180 15051
"Mouse_8b" 113761 17355 17264 17298 17128 14847
"Mouse_9a" 112954 16844 16797 16802 16714 14119
